v1,v2,v3,v4,y,E1,E2,E3
0,1,0,0,0,1000,1000,1000
1,1,0,0,0,1000,1000,1000
0,0,0,0,1,1000,1000,1000
0,1,0,0,1,1,0,0
0,0,1,1,1,1,1,0
1,0,1,1,0,1000,1000,1000
0,0,1,0,0,1000,1000,1000
0,0,0,1,1,0,0,0
1,1,1,1,1,0,0,0
1,1,1,0,0,1000,1000,1000
1,1,1,0,1,0,0,0
1,0,1,1,0,1000,1000,1000
1,1,0,1,1,1000,1000,1000
1,0,0,0,0,1000,1000,1000
0,1,0,1,1,1,1,0
0,0,0,0,0,1000,1000,1000
1,0,1,0,1,1,0,0
1,0,0,1,1,1000,1000,1000
0,1,0,1,0,1000,1000,1000
1,1,1,0,1,1,0,0
1,0,1,0,0,1000,1000,1000
0,1,0,0,1,1,1,0
0,1,0,0,1,1,0,0
0,0,0,1,1,1,0,0
0,1,0,0,1,0,1,1
0,0,1,0,0,1000,1000,1000
0,0,1,0,0,1000,1000,1000
0,0,0,1,1,1,0,1
0,0,0,1,1,1,0,0
0,1,1,0,0,1000,1000,1000
0,1,0,0,1,1,0,0
1,0,1,1,1,1,1,1
0,0,0,0,0,1000,1000,1000
0,1,0,0,0,1000,1000,1000
0,1,1,1,1,1,0,0
0,1,0,0,1,1,0,0
0,0,0,0,0,1000,1000,1000
0,1,1,1,1,0,0,0
1,1,0,0,0,1000,1000,1000
1,1,0,1,0,1000,1000,1000
0,1,0,1,1,1,0,0
0,0,1,1,1,1,1,0
0,0,0,0,0,1000,1000,1000
0,1,0,0,1,1,0,1
1,0,1,1,1,1,0,0
1,1,0,1,0,1000,1000,1000
1,0,0,1,1,1000,1000,1000
1,1,1,0,0,1000,1000,1000
0,0,1,0,0,1000,1000,1000
0,0,0,0,0,1000,1000,1000
0,1,1,0,1,1,0,0
0,1,1,0,1,1,1,0
1,0,0,0,0,1000,1000,1000
0,0,1,1,1,0,0,0
0,0,1,0,0,1000,1000,1000
1,0,1,1,1,1,0,0
1,0,0,1,0,1000,1000,1000
1,0,1,0,0,1000,1000,1000
1,1,0,0,0,1000,1000,1000
1,0,0,0,1,1000,1000,1000
1,0,0,1,0,1000,1000,1000
0,0,0,1,1,0,0,0
0,1,0,0,0,1000,1000,1000
0,1,0,0,1,0,0,0
1,0,0,1,1,1000,1000,1000
0,0,0,0,0,1000,1000,1000
1,0,1,0,0,1000,1000,1000
1,0,0,0,0,1000,1000,1000
1,0,1,0,0,1000,1000,1000
1,1,0,1,0,1000,1000,1000
1,1,0,1,1,1000,1000,1000
1,0,0,0,1,1000,1000,1000
0,1,0,1,1,0,0,0
1,0,1,1,1,0,0,0
0,1,1,0,1,1,0,0
